item_id,jurisdiction,category,status,deadline_or_availability,source_url,application_path,guardrail_fit,evidence_note
RERC-FND-2026-NAT-HMGP,Nationwide and U.S. territories,Disaster Resilience,Disaster-triggered,"Available after qualifying presidential major-disaster declarations; applicant deadlines are set by the state, territory, or Tribe",https://www.fema.gov/grants/mitigation/hazard-mitigation,"States, territories, federally recognized Tribes, and local governments or eligible nonprofits applying as subapplicants through them",Natural-hazard nexus required,"Transportation projects must reduce a documented natural-hazard risk and meet mitigation-plan, feasibility, cost-effectiveness, and environmental requirements."
RERC-FND-2026-NAT-FMA,Nationwide and U.S. territories,Disaster Resilience,Recurring,Annual federal and applicant-level cycles; use the applicable state or territorial notice,https://www.fema.gov/grants/mitigation/flood-mitigation-assistance,"States, territories, federally recognized Tribes, and NFIP-participating communities applying through them",Natural-hazard nexus required,Funding addresses long-term flood risk to NFIP-insured structures and communities; it is not a general transportation grant.
RERC-FND-2026-NAT-POSTFIRE,Nationwide and U.S. territories,Disaster Resilience,Fire-declaration-triggered,The application period opens with the first qualifying declaration of the fiscal year and generally closes six months after that fiscal year ends,https://www.fema.gov/grants/mitigation/post-fire,"States, territories, and federally recognized Tribes affected by a qualifying Fire Management Assistance Grant declaration; local entities apply through them",Natural-hazard nexus required,"Road, culvert, drainage, and slope projects may fit when they reduce documented post-wildfire hazard risk."
RERC-FND-2026-NAT-STORM,Nationwide and U.S. territories,Disaster Resilience,Recurring,FEMA capitalization-grant cycles and local revolving-loan availability vary,https://www.fema.gov/grants/mitigation/storm-rlf,"States, eligible territories, the District of Columbia, and federally recognized Tribes establish revolving funds that make loans to local governments",Natural-hazard nexus required,Local projects must reduce natural-hazard and disaster risk under an approved loan-fund project list.
RERC-FND-2026-NAT-HSIP,Nationwide and U.S. territories,Roadway Safety,Ongoing formula program,Continuous state programming with state-specific calls where offered,https://highways.dot.gov/safety/hsip,State and territorial transportation agencies; local and Tribal projects generally enter through the applicable state or territorial process,Conditional,"Guardrails, barriers, end treatments, and related roadside work can qualify when crash or risk analysis supports a fatal- or serious-injury reduction benefit."
RERC-FND-2026-NAT-PROTECT,Nationwide and U.S. territories,Roadway Safety,Ongoing formula program,Continuous state transportation programming,https://www.fhwa.dot.gov/infrastructure-investment-and-jobs-act/protect_formula.cfm,"States, the District of Columbia, Puerto Rico, and eligible transportation partners through state programming",Conditional,"Supports transportation resilience planning and improvements for natural hazards, evacuation routes, and vulnerable infrastructure."
RERC-FND-2026-NAT-ER,Nationwide and U.S. territories,Roadway Safety,Disaster-triggered,Available after qualifying natural disasters or catastrophic failures and an approved request,https://www.fhwa.dot.gov/programadmin/erelief.cfm,State transportation departments and federal land-management agencies; local road agencies coordinate through the state,Conditional,Restores eligible Federal-aid and federal-lands highways after serious damage; resilience improvements must meet Emergency Relief rules.
RERC-FND-2026-NAT-THP,Nationwide and U.S. territories,Roadway Safety,Ongoing formula program,Continuous territorial transportation programming,https://www.fhwa.dot.gov/pgc/index.cfm?ddisc=84&dsub=969,"American Samoa, Guam, Northern Mariana Islands, and U.S. Virgin Islands transportation agencies",Conditional,Territories program eligible highway and safety projects; this is not a direct grant application for individuals.
RERC-FND-2026-HMA-ALABAMA,Alabama,Disaster Resilience,Program active; current cycle uncertain,Disaster-triggered or annual by program; confirm with AEMA,https://ema.alabama.gov/about/agency-divisions/,"Local governments, Tribes, and eligible nonprofits coordinate with the AEMA Hazard Mitigation Branch",Natural-hazard nexus required,The official overview is not a current NOFO; do not treat it as an open call. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-ALASKA,Alaska,Disaster Resilience,No HMGP disaster intake open when checked,Disaster-triggered; monitor state notices,https://ready.alaska.gov/Mitigation/HMGP,"State, local, Tribal, Alaska Native village, and eligible nonprofit subapplicants submit through the state",Natural-hazard nexus required,An approved mitigation plan and state prioritization are required. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-AMERICAN-SAMOA,American Samoa,Disaster Resilience,Disaster-triggered,Cycle depends on a qualifying declaration,https://odapm.as.gov/hazardmitigation,Territorial agencies and eligible local entities coordinate with ODAPM,Natural-hazard nexus required,The territorial page describes HMGP and the usual 75% federal share. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-ARIZONA,Arizona,Disaster Resilience,Recurring and disaster-triggered,Program-specific state notices,https://dema.az.gov/emergency-management-landing-page/infrastructure-and-grant-administration/mitigation/mitigation_grant_programs,"State and local governments, special districts, and Tribes apply through Arizona DEMA",Natural-hazard nexus required,Ordinary road-safety work is not eligible without a natural-hazard mitigation purpose. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-ARKANSAS,Arkansas,Disaster Resilience,Current cycle uncertain,Contact ADEM for a current state deadline,https://adem.arkansas.gov/hazard-mitigation-grants,Eligible local governments and other subapplicants apply through ADEM,Natural-hazard nexus required,"The state portal is authoritative, but a current public deadline was not verified. Transportation work must have a documented natural-hazard mitigation purpose."
RERC-FND-2026-HMA-CALIFORNIA,California,Disaster Resilience,Recurring and disaster-triggered,State notices of interest and subapplication deadlines vary,https://www.caloes.ca.gov/office-of-the-director/operations/recovery-directorate/hazard-mitigation/hm-grant-opportunities/hma-hmgp/,"Local and state agencies, Tribes, special districts, and eligible nonprofits submit through Cal OES",Natural-hazard nexus required,State selection and FEMA eligibility review apply. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-COLORADO,Colorado,Disaster Resilience,Recurring and disaster-triggered,Program-specific state notices,https://dhsem.colorado.gov/grants,Eligible local governments and partners coordinate with Colorado DHSEM,Natural-hazard nexus required,The umbrella page lists mitigation grant programs but does not establish a current open deadline. Transportation work must have a documented natural-hazard mitigation purpose.
