"reference_id","section","title","original_url","canonical_url","catalog_ids","link_status","disposition","note"
"R2REF-001","General","This compendium of references was developed for the Recreation Economy for Rural Communities planning assistance program sponsored by the U.S","https://www.epa.gov/smartgrowth/recreation-economy-rural-communities","https://www.epa.gov/smartgrowth/recreation-economy-rural-communities","","Active","intentionally excluded","Introductory RERC program page, not a standalone Appendix resource."
"R2REF-002","Community Engagement, Diversity, Equity, and Inclusion","American Indian Alaska Native Tourism Association (AIANTA)","https://www.aianta.org/","https://www.aianta.org/","RERC-2026-USFS-NATIVE","Active - redirected","duplicate",""
"R2REF-003","Community Engagement, Diversity, Equity, and Inclusion","American Indian Alaska Native Tourism Association (AIANTA)","https://www.aianta.org/resources/publications/","https://americanindigenoustourism.org/destinations-international-toolkit/","RERC-RES-R2-003","Inactive","verified successor",""
"R2REF-004","Community Engagement, Diversity, Equity, and Inclusion","Appalachian Regional Initiative for Stronger Economies","https://www.arc.gov/wp-content/uploads/2022/08/Case-Studies-Toolkit_Final_081522r1.pdf","https://www.arc.gov/wp-content/uploads/2022/08/Case-Studies-Toolkit_Final_081522r1.pdf","RERC-RES-R2-004","Active","same source",""
"R2REF-005","Community Engagement, Diversity, Equity, and Inclusion","Diversify Outdoors","https://www.diversifyoutdoors.com/","https://www.diversifyoutdoors.com/","RERC-RES-R2-005","Active","same source",""
"R2REF-006","Community Engagement, Diversity, Equity, and Inclusion","Outdoor Afro: Where Black People and Nature Meet","https://outdoorafro.org/","https://outdoorafro.org/","RERC-RES-R2-006","Active","same source",""
"R2REF-007","Community Engagement, Diversity, Equity, and Inclusion","Together Outdoors: Together Outdoors is an initiative of the Outdoor Recreation Roundtable and is a coalition of under-represented individuals and diversity, equity, and inclusion","https://resourcehub.togetheroutdoors.com/","https://www.inclusiveoutdoors.org/","RERC-RES-R2-007","Needs manual review","verified successor",""
"R2REF-008","Community and State-Specific Strategies and Examples","Oregon Outdoor Recreation Network","https://industry.traveloregon.com/opportunities/programs-initiatives/outdoor-recreation/outdoor-recreation-development/","https://industry.traveloregon.com/programs/outdoor-recreation/outdoor-recreation-development/","RERC-RES-R2-008","Active - redirected","same source",""
"R2REF-009","Community and State-Specific Strategies and Examples","Pennsylvania Department of Conservation and Natural Resources","https://www.dcnr.pa.gov/Recreation/PAOutdoorRecPlan/Pages/default.aspx","https://www.pa.gov/agencies/dcnr/recreation/pa-outdoor-rec-plan","RERC-RES-R2-009","Active - redirected","same source",""
"R2REF-010","Community and State-Specific Strategies and Examples","Pennsylvania Department of Conservation and Natural Resources","https://youtu.be/P6Ubw9yrbjE","https://www.youtube.com/watch?v=P6Ubw9yrbjE&feature=youtu.be","RERC-RES-R2-010","Active - redirected","same source",""
"R2REF-011","Community and State-Specific Strategies and Examples","Pennsylvania Department of Conservation and Natural Resources","https://youtu.be/ORTzpvo9VcA","https://www.youtube.com/watch?v=ORTzpvo9VcA&feature=youtu.be","RERC-RES-R2-011","Active - redirected","same source",""
"R2REF-012","Community and State-Specific Strategies and Examples","Funding and Economic Development","https://youtu.be/HYid2q9Ay-Q","https://www.youtube.com/watch?v=HYid2q9Ay-Q&feature=youtu.be","RERC-RES-R2-012","Active - redirected","same source",""
