category,jurisdiction,agency,status,deadline,source_url,application_path,guardrail_fit,evidence_note
Disaster Resilience,Ohio,Ohio Emergency Management Agency,Official preapplication is stale,"No verified 2026 deadline",https://dam.assets.ohio.gov/image/upload/ema.ohio.gov/mip/links/HMA-Pre-Application.pdf,"Governmental subapplicants submit an Ohio EMA preapplication; selected projects advance to FEMA",Conditional,"Requires technical feasibility, benefit-cost support, engineering evidence, and an identified local match."
Roadway Safety,Ohio,Ohio Department of Transportation,Recurring cycle,"Next published deadline 2026-08-31; district coordination is requested six to eight weeks earlier",https://dam.assets.ohio.gov/image/upload/transportation.ohio.gov/local-programs/ODOT-Pocket-Resource-Guide-Fall-2025-11-4-25-Web.pdf,"Local governments and public-road sponsors coordinate through an ODOT District Safety Review Team",Yes,"Any public road may qualify; qualifying guardrail construction may receive a 100% federal share."
Disaster Resilience,Michigan,Michigan State Police Emergency Management and Homeland Security Division,FY2025 BRIC round closed,"NOI closed 2026-04-29; state application closed 2026-07-08; federal deadline was 2026-07-23",https://www.michigan.gov/msp/-/media/Project/Websites/msp/EMHSD/grants2/Informational-Bulletin---26-01-HMA-BRIC-FY25-Requests-for-NOIs.pdf,"State agencies, Tribal Nations, and local governments submitted notices of intent and invited applications through FEMA GO",Conditional,"Projects required an approved mitigation plan, measurable natural-hazard risk reduction, and cost effectiveness."
Roadway Safety,Michigan,Michigan Department of Transportation,FY2028 solicitation closed,"Annual; exact deadline is not displayed on the current landing page",https://www.michigan.gov/mdot/business/local-government/local-agency-program/special-funding-program,"Local road agencies apply through MDOT Local Agency Programs",Yes,"The current eligibility materials address guardrail standards for local public-road projects."
Disaster Resilience,Indiana,Indiana Department of Homeland Security,BRIC and HMGP rounds closed or disaster-dependent,"Next deadline not posted",https://www.in.gov/dhs/emergency-management-and-preparedness/mitigation-and-recovery/,"Communities submit an IDHS preapplication; approved subapplicants develop FEMA GO applications",Conditional,"The community must participate in an approved county mitigation plan and address documented natural-hazard risk."
Roadway Safety,Indiana,Indiana Department of Transportation,Standing program; current NOFA date not displayed,"Controlled by the current INDOT NOFA",https://www.in.gov/indot/doing-business-with-indot/local-public-agency-programs/federal-grant-opportunities/,"Local public agencies apply through INDOT's NOFA process and coordinate with an MPO where applicable",Yes,"INDOT guidance expressly lists new guardrails, barriers, and crash attenuators."
Disaster Resilience,Illinois,Illinois Emergency Management Agency and Office of Homeland Security,Official portal appears stale,"HMGP is disaster-dependent; no current BRIC or FMA deadline verified",https://iemaohs.illinois.gov/recovery/mitigation/mitigationprograms.html,"State and local governments and eligible private nonprofits apply through IEMA-OHS",Conditional,"Do not treat older cycle material as a current open call."
Roadway Safety,Illinois,Illinois Department of Transportation,FY2028 solicitation closed,"Closed 2026-08-14",https://idot.illinois.gov/programs-and-projects/safety-programs/highway-safety/highway-safety-improvement-program.html,"Counties, municipalities, townships, and other local public agencies submit through IDOT",Yes,"Applications require crash data and benefit-cost support; systematic local guardrail projects have been funded."
Disaster Resilience,Wisconsin,Wisconsin Emergency Management,No current HMA opportunity posted,"HMGP remains disaster-dependent; monitor WEM",https://wem.wi.gov/tag/mitigation-grants/,"State and local governments and Tribal Nations submit through WEM",Conditional,"Approved-plan, benefit-cost, and environmental requirements apply."
Roadway Safety,Wisconsin,Wisconsin Department of Transportation,August 2026 cycle closed,"Standard cycle closed 2026-08-15; mid-cycle deadline was 2026-02-15",https://wisconsindot.gov/pages/doing-bus/local-gov/astnce-pgms/highway/hsip.aspx,"Local public agencies and regional safety partners submit to a WisDOT regional coordinator",Conditional,"All public roads are eligible, but projects must respond to documented crash or systemic risk."
Disaster Resilience,Minnesota,Minnesota Department of Public Safety Homeland Security and Emergency Management,Standing notice-of-interest intake,"Exact current award-cycle deadline not shown",https://dps.mn.gov/divisions/hsem/programs/hazard-mitigation/current-funding-opportunities,"Subapplicants register in EM Grants Pro and submit a program-specific notice of interest",Conditional,"A notice of interest is not an application or funding guarantee."
Roadway Safety,Minnesota,Minnesota Department of Transportation,2027-2030 solicitation closed,"Closed 2025-11-26; no newer solicitation posted",https://www.dot.state.mn.us/stateaid/trafficsafety.html,"City and county transportation agencies apply through MnDOT; MPO support is required within MPO boundaries",Conditional,"Guardrail may fit documented roadway-departure risk but is not automatically eligible."
Disaster Resilience,Iowa,Iowa Department of Homeland Security and Emergency Management,Standing notice-of-interest portal,"Annual and disaster-specific; current deadline uncertain",https://homelandsecurity.iowa.gov/grants/hazard-mitigation-assistance-hma-grant-programs,"Local jurisdictions submit through EMGrantsPro and may be invited to complete an application",Conditional,"HSEM selects and prioritizes local subapplications."
Roadway Safety,Iowa,Iowa Department of Transportation,Annual rule posted; future authorization should be confirmed,"Normally November 15; confirm FY2028 continuation",https://iowadot.gov/consultants-contractors/traffic-safety/traffic-safety-resource-guide/local-highway-safety-improvement-program-hsip-local,"Cities and counties submit an HSIP-Local application; joint regional projects are allowed",Yes,"Guardrail is expressly listed as a common systemic project."
Disaster Resilience,Missouri,Missouri State Emergency Management Agency,Standing notice-of-interest process,"FMA notices may be accepted anytime and retained for two years; federal cycles still control",https://sema.dps.mo.gov/programs/mitigation_management.php,"Eligible public entities submit an NOI to SEMA; selected applicants develop FEMA GO applications",Conditional,"A notice of interest is not an award guarantee."
Roadway Safety,Missouri,Missouri Department of Transportation,Annual district programming,"Typical identification occurs in summer and fall; no direct statewide call found",https://epg.modot.org/index.php?title=907.1_Safety_Program_Guidelines,"Local owners work through MoDOT districts and regional planning partners",Conditional,"Local-road safety benefits must compare favorably with other project alternatives."
Disaster Resilience,North Dakota,North Dakota Department of Emergency Services,Disaster-triggered; no open cycle stated,"The state sets declaration-specific deadlines",https://www.des.nd.gov/recovery-mitigation/faq-hazard-mitigation,"State, local, and Tribal governments coordinate through NDDES",Conditional,"The current official FAQ confirms HMGP eligibility, the local-government application route, and declaration-specific timing."
Roadway Safety,North Dakota,North Dakota Department of Transportation,Annual solicitation,"Application form revised 2026-04-15; exact closing date not found",https://www.dot.nd.gov/construction-and-planning/grant-and-funding-programs/state-funding-programs-0,"Counties, cities, and Tribal governments respond to the annual NDDOT solicitation",Conditional,"The current page confirms applicants and an annual process; guardrail eligibility remains project-specific."
Disaster Resilience,South Dakota,South Dakota Office of Emergency Management,HMGP disaster-dependent and FMA annual,"FMA is typically due near the beginning of December; confirm the current HMA guide",https://www.sd.gov/cs?id=kb_article_view&sys_kb_id=6bf29f251b82aa50df4edb1de54bcb14,"State, local, and Tribal governments and eligible nonprofits develop applications with SD OEM",Conditional,"Individuals and businesses do not apply directly."
Roadway Safety,South Dakota,South Dakota Department of Transportation,Ongoing project-identification program,"No fixed application deadline identified",https://dot.sd.gov/transportation/highways/highway-safety,"SDDOT works with cities, counties, Tribes, and other local entities to identify projects",Conditional,"The page does not present an open competitive grant application."
Disaster Resilience,Nebraska,Nebraska Emergency Management Agency,FY2024/25 BRIC round closed despite stale open label,"NOI closed 2026-05-01; federal deadline was 2026-07-23",https://nema.nebraska.gov/hazard-mitigation-assistance-grants.php,"State, local, and Tribal governments submit a NEMA HMA notice of intent",Conditional,"Treat the page's open label as stale as of 2026-08-17."
Roadway Safety,Nebraska,Nebraska Department of Transportation,Annual cycle closed,"January 31 annually",https://dot.nebraska.gov/business-center/local-public-assistance/projects/programs/hsip/,"Local public agencies email an application package to NDOT Local Assistance and Highway Safety",Yes,"Nebraska has used HSIP for local cable-guardrail replacement."
Disaster Resilience,Kansas,Kansas Division of Emergency Management,Limited BRIC notice-of-interest opportunity; allocation uncertain,"No fixed date; availability ends when the allocation is committed",https://www.kansastag.gov/535/Hazard-Mitigation-Assistance,"Governmental subapplicants submit a KDEM notice of interest",Conditional,"Confirm remaining allocation with KDEM before treating the opportunity as available."
Roadway Safety,Kansas,Kansas Department of Transportation,Annual program; solicitation dates vary,"Application accompanies the current solicitation memo",https://www.ksdot.gov/programs/safety-programs/highway-safety-improvement-program-high-risk-rural-roads-program,"Counties and Tribes apply when KDOT issues a solicitation",Yes,"KDOT expressly lists roadside barriers, including guardrails and culvert headwalls."
